draw,incremental_cost,incremental_qaly,incremental_life_years,icer,nmb_50000,nmb_150000,annual_drug_cost_cad,treatment_exposure_factor,utility_gain_per_pct_weight_loss,annual_diabetes_incidence,diabetes_rr_semaglutide,annual_diabetes_cost_cad,diabetes_utility_decrement
3093,9315.617533553368,0.03439155990362863,0.007388193609372706,270869.2935027493,-7596.039538371937,-4156.883548009073,4710.117688468206,0.6752338543634847,0.0006047459637668993,0.019248295820845876,0.8431781045217166,1131.6176745645373,0.04087636554160724
3094,10741.359508343354,0.06161828667852376,0.0254639493496569,174320.9700779803,-7660.445174417166,-1498.6165065647892,4857.558978277343,0.7494402788215633,0.0008442823958546934,0.024293221683551147,0.6321483642777507,1048.7706888517105,0.037886434721036324
3095,10325.881648285902,0.045104403087790956,0.007933956771172035,228932.8965996438,-8070.661493896354,-3560.2211851172588,4579.314059155925,0.7405258453966442,0.0007078399579029833,0.04,0.8456382998907614,1157.873356160774,0.05404713123275688
3096,8183.216226566288,0.05642729783968292,0.016535198643712334,145022.29487961374,-5361.851334582142,280.87844938614944,4253.77,0.6384570995838357,0.0007630034331972524,0.04,0.7984790962892202,987.8976314622693,0.05281307147892669
3097,9015.376924028475,0.04814246062406724,0.019869394900148052,187264.56452708886,-6608.253892825112,-1794.007830418389,4253.77,0.7821312936695581,0.0005018736468334911,0.023216883504125537,0.6848173918944997,2863.9997842078915,0.04961383467408448
3098,7387.095676508223,0.04042612277347146,0.011423664964986813,182730.74857813973,-5365.789537834649,-1323.1772604875032,4269.21844503115,0.6303919142692824,0.0005513232053851122,0.019267642382571455,0.6568683737061929,2489.182696301029,0.048662782587996
3099,10564.840092359967,0.04279427943216518,0.013502697365893823,246875.05509017137,-8425.12612075171,-4145.69817753519,5199.05,0.6850650945099775,0.0006159505774959829,0.0215542628652665,0.8434620385579747,2628.252831237233,0.052053555682283675
3100,8903.151851023416,0.061239482481358465,0.01247378589656023,145382.5455454097,-5841.177726955493,282.77052118035317,4524.244490879391,0.6950834695425071,0.0008171276262650825,0.022713344539156386,0.6519075828865839,1742.9366516739137,0.050272901872600945
3101,9805.672963653324,0.028285877375733293,0.0012565012646525986,346663.2069919704,-8391.37909486666,-5562.791357293329,4735.089096594957,0.690396916115962,0.0006080282459867925,0.027476828967910562,0.95,1826.018407620496,0.038872924970148715
3102,8917.769259013652,0.05324821484653697,0.01588806861326475,167475.45968845987,-6255.358516686803,-930.5370320331067,4351.461513497046,0.7011368357086766,0.0010586037591588794,0.016104151943036736,0.7513989169223265,2051.388956165751,0.026883624638096442
3103,9177.610834460304,0.047333442085236044,0.020140290037559794,193892.7411603334,-6810.938730198501,-2077.594521674897,4253.77,0.74758787302066,0.0006483754682377793,0.013644321924856196,0.704611487614349,2539.7636161387513,0.03465331374931505
3104,11283.601576656647,0.033030161659958424,0.009633543006508205,341615.08783456706,-9632.093493658725,-6329.077327662883,4720.876421188818,0.8004051243504093,0.0006828778059846967,0.02191178429908697,0.8392307451367382,1660.7319152126272,0.03380733909313876
