price_reduction_pct,additional_non_diabetes_qaly_multiplier,total_incremental_qaly,modeled_incremental_qaly,incremental_cost,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
25,3.1,0.1855716041370126,0.045261366862686,7419.126488367681,1859.4537184829478,20416.614132184208,1,1
25,3.2,0.1900977408232812,0.045261366862686,7419.126488367681,2085.7605527963788,21095.5346351245,1,1
25,3.3,0.19462387750954982,0.045261366862686,7419.126488367681,2312.0673871098097,21774.45513806479,1,1
25,3.4,0.19915001419581843,0.045261366862686,7419.126488367681,2538.3742214232407,22453.375641005085,1,1
25,3.5,0.20367615088208701,0.045261366862686,7419.126488367681,2764.68105573667,23132.296143945372,1,1
25,3.6,0.2082022875683556,0.045261366862686,7419.126488367681,2990.987890050099,23811.21664688566,1,1
25,3.7,0.2127284242546242,0.045261366862686,7419.126488367681,3217.29472436353,24490.13714982595,1,1
25,3.8,0.21725456094089282,0.045261366862686,7419.126488367681,3443.601558676959,25169.05765276624,1,1
25,3.9,0.22178069762716143,0.045261366862686,7419.126488367681,3669.90839299039,25847.978155706533,1,1
25,4.0,0.22630683431343002,0.045261366862686,7419.126488367681,3896.215227303819,26526.89865864682,1,1
30,0.0,0.045261366862686,0.045261366862686,6919.910858494462,-4656.842515360162,-130.705829091562,0,0
30,0.1,0.04978750354895461,0.045261366862686,6919.910858494462,-4430.535681046732,548.214673848729,0,1
30,0.2,0.054313640235223205,0.045261366862686,6919.910858494462,-4204.228846733302,1227.1351767890183,0,1
30,0.3,0.0588397769214918,0.045261366862686,6919.910858494462,-3977.9220124198723,1906.0556797293084,0,1
30,0.4,0.06336591360776041,0.045261366862686,6919.910858494462,-3751.6151781064423,2584.9761826695994,0,1
30,0.5,0.067892050294029,0.045261366862686,6919.910858494462,-3525.308343793012,3263.8966856098887,0,1
30,0.6,0.0724181869802976,0.045261366862686,6919.910858494462,-3299.001509479582,3942.817188550178,0,1
30,0.7,0.0769443236665662,0.045261366862686,6919.910858494462,-3072.6946751661526,4621.737691490467,0,1
30,0.8,0.08147046035283481,0.045261366862686,6919.910858494462,-2846.387840852722,5300.65819443076,0,1
30,0.9,0.08599659703910341,0.045261366862686,6919.910858494462,-2620.0810065392916,5979.578697371049,0,1
30,1.0,0.090522733725372,0.045261366862686,6919.910858494462,-2393.7741722258625,6658.499200311338,0,1
30,1.1,0.0950488704116406,0.045261366862686,6919.910858494462,-2167.4673379124324,7337.419703251628,0,1
30,1.2,0.09957500709790922,0.045261366862686,6919.910858494462,-1941.1605035990015,8016.3402061919205,0,1
