draw,incremental_qaly,incremental_cost,nmb_50000,nmb_150000
244,0.059623752759883075,11682.103145772617,-8700.915507778464,-2738.5402317901553
245,0.023252194962708472,9802.0602030839,-8639.450454948477,-6314.230958677629
246,0.07257215910630777,8889.288522639443,-5260.680567324054,1996.5353433067212
247,0.03187887651832355,11338.250986807081,-9744.307160890903,-6556.419509058548
248,0.06018483224752558,11317.878001280595,-8308.636388904317,-2290.1531641517577
249,0.04060204594632211,8841.38817094252,-6811.285873626415,-2751.0812789942047
250,0.05075292303621026,9088.026354027415,-6550.380202216902,-1475.0878985958761
251,0.045145554244761854,10995.858493124284,-8738.580780886192,-4224.025356410006
252,0.05344585113189737,10227.836941352492,-7555.544384757624,-2210.9592715678864
253,0.02895725543169192,8858.752335652884,-7410.889564068288,-4515.164020899096
254,0.02778015214044416,10734.396127320771,-9345.388520298564,-6567.373306254148
255,0.04186471945490311,8012.830819578888,-5919.594846833732,-1733.1229013434213
256,0.053497150095054735,9865.239784454592,-7190.382279701856,-1840.6672701963817
257,0.049177698393357616,11380.771321050579,-8921.886401382699,-4004.1165620469365
258,0.0332983528763755,9025.119112460477,-7360.201468641702,-4030.366181004152
259,0.0494167655208706,11191.40204434724,-8720.56376830371,-3778.88721621665
260,0.043251975082995386,8902.390567217102,-6739.791813067333,-2414.594304767794
261,0.04972794698414873,8009.954536571971,-5523.557187364535,-550.7624889496619
262,0.04379234971152357,9735.51084889939,-7545.893363323212,-3166.6583921708543
263,0.035604550039575855,11194.842132602069,-9414.614630623277,-5854.159626665691
264,0.0677591192466167,7881.629518444763,-4493.673556113928,2282.2383685477434
265,0.03101504695125712,9680.632381637322,-8129.8800340744665,-5028.375338948755
266,0.037656960740314105,10003.660308428249,-8120.812271412544,-4355.116197381133
267,0.06425789359592926,8170.463813081975,-4957.569133285511,1468.2202263074141
268,0.024582209039383685,10004.459631028854,-8775.34917905967,-6317.128275121302
269,0.027460955341719995,10121.65545081142,-8748.60768372542,-6002.512149553421
270,0.06741277140691793,9078.48309196837,-5707.844521622474,1033.4326190693191
271,0.05893273588187853,8033.0384555617475,-5086.401661467821,806.8719267200322
272,0.0392709979451169,9944.052387704465,-7980.50249044862,-4053.4026959369294
273,0.026465269381183987,10982.873468507036,-9659.609999447835,-7013.083061329438
274,0.03615654398506862,8849.78451919688,-7041.95731994345,-3426.302921436587
275,0.04360077974270027,9446.211066588257,-7266.172079453244,-2906.094105183217
276,0.04859748862893554,11087.161775634331,-8657.287344187554,-3797.538481294001
277,0.04145467028456906,9561.85109932207,-7489.117585093616,-3343.6505566367105
278,0.05966455210296928,9959.126336527474,-6975.898731379009,-1009.4435210820811
279,0.03235414554622551,8564.551669315559,-6946.844392004283,-3711.429837381732
280,0.06577009857515392,9293.752524275758,-6005.247595518062,571.7622619973299
281,0.039280165211000195,10859.995429756118,-8895.987169206108,-4967.970648106088
282,0.04685568692474007,10656.809456516054,-8314.02511027905,-3628.456417805043
283,0.055572937827470525,8993.111565016556,-6214.4646736430295,-657.1708908959772
284,0.04980116789912259,8814.531973537087,-6324.473578580957,-1344.3567886686988
285,0.027052682900365,11905.30197136431,-10552.66782634606,-7847.39953630956
286,0.042296408084808945,11304.750811447448,-9189.930407207,-4960.289598726105
287,0.03583181157826232,9996.253149001703,-8204.662570088587,-4621.481412262355
288,0.03446188212928192,10958.030344620927,-9234.936238156832,-5788.74802522864
289,0.05329222200770545,8975.34763275382,-6310.736532368546,-981.5143315980022
290,0.0327630677214259,9795.124914114394,-8156.971528043099,-4880.66475590051
291,0.03178089693200192,10041.016869166777,-8451.97202256668,-5273.882329366488
292,0.034627921420735674,9854.766270694705,-8123.370199657921,-4660.578057584354
293,0.03783925322813886,8431.947258325923,-6539.98459691898,-2756.059274105094
294,0.03743166712461132,11195.170045465875,-9323.586689235308,-5580.419976774177
295,0.03818101437504495,9971.444809811825,-8062.3940910595775,-4244.292653555081
296,0.03813853432533776,10534.2640500303,-8627.337333763413,-4813.483901229637
297,0.04561748482504768,10285.995268837694,-8005.12102758531,-3443.3725450805423
298,0.03225021190319666,11478.143767521258,-9865.633172361426,-6640.61198204176
299,0.04043036249795762,8412.565283087031,-6391.047158189151,-2348.0109083933885
300,0.03613419560831943,8687.5026006164,-6880.79282020043,-3267.3732593684863
301,0.04973640890686326,8484.705228357047,-5997.884783013884,-1024.2438923275577
302,0.055806687905210595,11484.154310782207,-8693.819915521677,-3113.151125000619
303,0.043461867508273855,12212.30505345299,-10039.211678039297,-5693.024927211912
304,0.05327507839960788,10318.399034974253,-7654.645114993858,-2327.137275033071
305,0.02923102132359645,10177.815931107301,-8716.264864927478,-5793.162732567834
306,0.04786570411801705,7255.504509902203,-4862.21930400135,-75.64889219964516
307,0.02496221688423006,9624.412286706007,-8376.301442494503,-5880.0797540714975
308,0.08259790300084902,10224.577013099599,-6094.681863057148,2165.108437027753
309,0.0503370143941666,10763.890243947835,-8247.039524239506,-3213.3380848228453
310,0.0492998853080735,10033.142536839301,-7568.148271435626,-2638.1597406282763
311,0.05301445117215309,8851.167733620781,-6200.445175013127,-899.000057797818
312,0.017402824568794273,9486.368792947338,-8616.227564507624,-6875.945107628197
313,0.05608303662804204,8872.569268464315,-6068.417437062213,-460.11377425800856
314,0.028166023492357084,7955.550677150044,-6547.24950253219,-3730.6471532964815
315,0.04802828400783454,10766.263745577045,-8364.849545185318,-3562.021144401864
316,0.030498572587831063,12302.985548904006,-10778.056919512452,-7728.199660729346
317,0.04327491599342892,8356.05516064116,-6192.309360969713,-1864.8177616268213
318,0.03310075080430508,11476.727879532496,-9821.690339317243,-6511.615258886734
319,0.04081873827328053,10207.653099477651,-8166.716185813624,-4084.842358485572
320,0.04242856169648945,9057.653335919073,-6936.2252510946,-2693.369081445655
